id,family
0,3776
1,4652
2,4960
5,1684
6,3243
7,5923
8,3143
9,3689
10,6323
11,4851
13,5978
14,1298
16,5807
17,5871
19,5004
20,2445
22,1955
24,6012
26,3480
27,1977
28,2041
30,5619
31,2277
32,4365
33,5490
34,1941
35,5084
36,2273
37,4287
38,5456
39,4087
40,687
41,4050
42,4316
43,372
44,4839
47,1309
49,3829
53,6163
55,588
60,5080
61,5378
62,161
64,2042
65,2277
66,3721
71,2777
72,270
76,643
78,6263
81,1836
82,6196
83,3277
85,4273
86,3259
87,2277
88,6070
89,5861
90,486
93,5789
94,6003
95,5632
96,3931
97,3447
98,2335
99,5004
100,4282
101,5546
103,6020
104,3770
105,5795
106,5179
109,2947
110,1849
111,5230
112,6234
113,1693
114,3463
115,3605
117,657
119,1680
120,5708
121,1465
122,1161
123,5366
124,3328
125,4214
126,2166
129,3702
130,6161
131,3960
132,2095
133,2386
134,3552
135,2909
136,1557
137,5832
138,2168
139,6303
140,3744
142,2727
143,538
145,5815
146,5892
147,949
148,4445
150,5870
151,4218
152,2350
153,1210
155,3708
156,2303
158,1850
159,4853
161,1160
163,4796
164,4856
165,5036
166,6320
167,5217
169,4703
170,2283
171,5980
172,3164
173,3933
174,2757
175,2413
177,1266
179,3498
180,5378
182,3299
184,1207
185,6327
186,6239
187,1145
188,4806
190,4203
191,5795
192,3562
193,5941
194,4326
195,1946
196,5421
198,5701
199,942
200,3519
201,3776
203,1051
205,1442
206,1063
207,2466
208,5759
209,4557
211,6302
212,5469
214,1520
216,5959
217,3016
218,5053
219,2275
220,1534
221,687
222,2836
223,3146
224,2277
227,3725
228,5338
229,2342
231,2095
232,4117
233,1271
234,3834
236,432
237,1276
238,463
239,530
240,5014
242,3825
243,892
244,5633
245,4671
246,3428
249,542
250,3744
251,3196
252,2021
256,930
257,555
258,3911
259,625
261,4214
262,3107
263,3037
264,5815
265,2852
266,5198
267,5782
268,2277
269,4975
270,34
273,4952
275,4806
276,2004
279,6239
281,252
282,2634
283,265
284,14
285,1210
286,1811
288,784
289,4796
290,630
